CP,Plaza,Estado,Municipio,Colonia,Zona,Caja 1KG,Costo por kilo adicional,Palet
01000,MEX,DISTRITO FEDERAL,ALVARO OBREGON,SAN ANGEL,1,$113,$3,$915
01010,MEX,DISTRITO FEDERAL,ALVARO OBREGON,LOS ALPES,1,$113,$3,$915
01020,MEX,DISTRITO FEDERAL,ALVARO OBREGON,GUADALUPE INN,1,$113,$3,$915
01030,MEX,DISTRITO FEDERAL,ALVARO OBREGON,FLORIDA,1,$113,$3,$915
01030,MEX,DISTRITO FEDERAL,ALVARO OBREGON,AXOTLA,1,$113,$3,$915
01040,MEX,DISTRITO FEDERAL,ALVARO OBREGON,CAMPESTRE,1,$113,$3,$915
01048,MEX,DISTRITO FEDERAL,ALVARO OBREGON,LAS AGUILAS,1,$113,$3,$915
01049,MEX,DISTRITO FEDERAL,ALVARO OBREGON,TLACOPAC,1,$113,$3,$915
01050,MEX,DISTRITO FEDERAL,ALVARO OBREGON,EX-HACIENDA DE GUADALUPE CHIMALISTAC,1,$113,$3,$915
01060,MEX,DISTRITO FEDERAL,ALVARO OBREGON,ALTAVISTA,1,$113,$3,$915
01060,MEX,DISTRITO FEDERAL,ALVARO OBREGON,SAN ANGEL INN,1,$113,$3,$915
01070,MEX,DISTRITO FEDERAL,ALVARO OBREGON,CHIMALISTAC,1,$113,$3,$915
01080,MEX,DISTRITO FEDERAL,ALVARO OBREGON,PROGRESO TIZAPAN,1,$113,$3,$915
01089,MEX,DISTRITO FEDERAL,ALVARO OBREGON,ERMITA TIZAPAN,1,$113,$3,$915
01090,MEX,DISTRITO FEDERAL,ALVARO OBREGON,TIZAPAN,1,$113,$3,$915
01090,MEX,DISTRITO FEDERAL,ALVARO OBREGON,LA OTRA BANDA,1,$113,$3,$915
01090,MEX,DISTRITO FEDERAL,ALVARO OBREGON,LORETO,1,$113,$3,$915
01100,MEX,DISTRITO FEDERAL,ALVARO OBREGON,POLVORA,1,$113,$3,$915
01120,MEX,DISTRITO FEDERAL,ALVARO OBREGON,COVE,1,$113,$3,$915
01120,MEX,DISTRITO FEDERAL,ALVARO OBREGON,LAS AMERICAS,1,$113,$3,$915
01120,MEX,DISTRITO FEDERAL,ALVARO OBREGON,ACUEDUCTO,1,$113,$3,$915
01120,MEX,DISTRITO FEDERAL,ALVARO OBREGON,HIDALGO,1,$113,$3,$915
01130,MEX,DISTRITO FEDERAL,ALVARO OBREGON,REAL DEL MONTE,1,$113,$3,$915
01130,MEX,DISTRITO FEDERAL,ALVARO OBREGON,MOLINO DE SANTO DOMINGO,1,$113,$3,$915
01130,MEX,DISTRITO FEDERAL,ALVARO OBREGON,PARAISO,1,$113,$3,$915
01140,MEX,DISTRITO FEDERAL,ALVARO OBREGON,JOSE MARIA PINO SUAREZ,1,$113,$3,$915
01140,MEX,DISTRITO FEDERAL,ALVARO OBREGON,BELLAVISTA,1,$113,$3,$915
01150,MEX,DISTRITO FEDERAL,ALVARO OBREGON,CRISTO REY,1,$113,$3,$915
